Код ID;Наименование;Краткое описание;Маленькая картинка;Подробное описание;Большая картинка;Склад;Цена1;Цена2;Цена3;Цена4;Цена5;1;Артикул;;Характеристики
;Светильник уличный Calgary EG86393;Производитель: Eglo (Австрия)<br>Гарантия и качество;/UserFiles/Image/svetilniki/small/EG86393.gif;<STRONG>Габариты</STRONG><br>Ширина: 12,0 см<br>Высота: 110,0 см<STRONG>Дополнительные параметры</STRONG><br>Цвет арматуры: нержавеющая сталь<br>влагонепроницаемый<br>3 года гарантия;/UserFiles/Image/svetilniki/EG86393.jpg;1000;0;0;0;0;0;1;EG86393;;YTo0OntpOjIwO2E6MTp7aTowO3M6MjoiMzUiO31pOjg7YToxOntpOjA7czozOiIxMTAiO31pOjk7YToxOntpOjA7czoyOiIxNyI7fWk6MjE7YToxOntpOjA7czoyOiI1MyI7fX0
;Светильник уличный Capitol EG88126;Производитель: Eglo (Австрия)<br>Гарантия и качество;/UserFiles/Image/svetilniki/small/EG88126.gif;<STRONG>Габариты</STRONG><br>Высота: 32,7 см<br>Диаметр плафона: 14,3 см<br>Отступ: 17,5 см<STRONG>Дополнительные параметры</STRONG><br>Цвет арматуры: матовый никель<br>влагонепроницаемый<br>3 года гарантия;/UserFiles/Image/svetilniki/EG88126.jpg;1000;0;0;0;0;0;1;EG88126;;YTo0OntpOjIwO2E6MTp7aTowO3M6MjoiMzUiO31pOjg7YToxOntpOjA7czozOiIxMTAiO31pOjk7YToxOntpOjA7czoyOiIxNyI7fWk6MjE7YToxOntpOjA7czoyOiI1MyI7fX0
;Светильник уличный Capitol EG88127;Производитель: Eglo (Австрия)<br>Гарантия и качество;/UserFiles/Image/svetilniki/small/EG88127.gif;<STRONG>Габариты</STRONG><br>Высота: 35,1 см<br>Диаметр плафона: 14,3 см<br>Отступ: 17,5 см<STRONG>Дополнительные параметры</STRONG><br>Цвет арматуры: матовый никель<br>влагонепроницаемый<br>сенсорное включение (датчик движения)<br>3 года гарантия;/UserFiles/Image/svetilniki/EG88127.jpg;1000;0;0;0;0;0;1;EG88127;;YTo0OntpOjIwO2E6MTp7aTowO3M6MjoiMzUiO31pOjg7YToxOntpOjA7czozOiIxMTAiO31pOjk7YToxOntpOjA7czoyOiIxNyI7fWk6MjE7YToxOntpOjA7czoyOiI1MyI7fX0
;Светильник уличный Capitol EG88128;Производитель: Eglo (Австрия)<br>Гарантия и качество;/UserFiles/Image/svetilniki/small/EG88128.gif;<STRONG>Габариты</STRONG><br>Длина:  см<br>Ширина:  см<br>Высота: 24,0 см<br>Диаметр плафона: 14,3 см<br>Диаметр основания: 10,0 см<STRONG>Дополнительные параметры</STRONG><br>Цвет арматуры: матовый никель<br>влагонепроницаемый<br>3 года гарантия;/UserFiles/Image/svetilniki/EG88128.jpg;1000;0;0;0;0;0;1;EG88128;;YTo0OntpOjIwO2E6MTp7aTowO3M6MjoiMzUiO31pOjg7YToxOntpOjA7czozOiIxMTAiO31pOjk7YToxOntpOjA7czoyOiIxNyI7fWk6MjE7YToxOntpOjA7czoyOiI1MyI7fX0
;Светильник уличный Capitol EG88129;Производитель: Eglo (Австрия)<br>Гарантия и качество;/UserFiles/Image/svetilniki/small/EG88129.gif;<STRONG>Габариты</STRONG><br>Высота: 100,0 см<br>Диаметр плафона: 14,3 см<br>Диаметр основания: 20,0 см<STRONG>Дополнительные параметры</STRONG><br>Цвет арматуры: матовый никель<br>влагонепроницаемый<br>3 года гарантия;/UserFiles/Image/svetilniki/EG88129.jpg;1000;0;0;0;0;0;1;EG88129;;YTo0OntpOjIwO2E6MTp7aTowO3M6MjoiMzUiO31pOjg7YToxOntpOjA7czozOiIxMTAiO31pOjk7YToxOntpOjA7czoyOiIxNyI7fWk6MjE7YToxOntpOjA7czoyOiI1MyI7fX0
;Светильник уличный Cinema EG87137;Производитель: Eglo (Австрия)<br>Гарантия и качество;/UserFiles/Image/svetilniki/small/EG87137.gif;<STRONG>Габариты</STRONG><br>Ширина: 28,0 см<br>Высота: 17,0 см<STRONG>Дополнительные параметры</STRONG><br>Цвет арматуры: серебро<br>влагонепроницаемый<br>энергосберегающая<br>номера в комплекте<br>3 года гарантия;/UserFiles/Image/svetilniki/EG87137.jpg;1000;0;0;0;0;0;1;EG87137;;
;Светильник уличный Cinema EG87138;Производитель: Eglo (Австрия)<br>Гарантия и качество;/UserFiles/Image/svetilniki/small/EG87138.gif;<STRONG>Габариты</STRONG><br>Ширина: 28,0 см<br>Высота: 9,5 см<br>Отступ: 9,5 см<STRONG>Дополнительные параметры</STRONG><br>Цвет арматуры: серебро<br>влагонепроницаемый<br>энергосберегающая<br>3 года гарантия;/UserFiles/Image/svetilniki/EG87138.jpg;1000;0;0;0;0;0;1;EG87138;;YTo0OntpOjIwO2E6MTp7aTowO3M6MzoiMTI4Ijt9aTo4O2E6MTp7aTowO3M6MzoiMTEwIjt9aTo5O2E6MTp7aTowO3M6MjoiMTciO31pOjIxO2E6MTp7aTowO3M6MjoiNjAiO319
;Светильник уличный Cubik EG87139;Производитель: Eglo (Австрия)<br>Гарантия и качество;/UserFiles/Image/svetilniki/small/EG87139.gif;<STRONG>Габариты</STRONG><br>Ширина: 22,5 см<br>Высота: 29,0 см<STRONG>Дополнительные параметры</STRONG><br>Цвет арматуры: нержавеющая сталь<br>влагонепроницаемый<br>светодиодные лампы<br>сенсорное включение (датчик движения)<br>3 года гарантия;/UserFiles/Image/svetilniki/EG87139.jpg;1000;0;0;0;0;0;1;EG87139;;YTo0OntpOjIwO2E6MTp7aTowO3M6MjoiODYiO31pOjg7YToxOntpOjA7czozOiIxMTAiO31pOjk7YToxOntpOjA7czoyOiIxNyI7fWk6MjE7YToxOntpOjA7czoyOiI4MSI7fX0
;Светильник уличный Cubik EG87142;Производитель: Eglo (Австрия)<br>Гарантия и качество;/UserFiles/Image/svetilniki/small/EG87142.gif;<STRONG>Габариты</STRONG><br>Ширина: 22,5 см<br>Высота: 12,5 см<STRONG>Дополнительные параметры</STRONG><br>Цвет арматуры: нержавеющая сталь<br>влагонепроницаемый<br>светодиодные лампы<br>сенсорное включение (датчик движения)<br>3 года гарантия;/UserFiles/Image/svetilniki/EG87142.jpg;1000;0;0;0;0;0;1;EG87142;;YTo0OntpOjIwO2E6MTp7aTowO3M6MjoiODYiO31pOjg7YToxOntpOjA7czozOiIxMTAiO31pOjk7YToxOntpOjA7czoyOiIxNyI7fWk6MjE7YToxOntpOjA7czoyOiI4MSI7fX0
;Светильник уличный Pali EG88163;Производитель: Eglo (Австрия)<br>Гарантия и качество;/UserFiles/Image/svetilniki/small/EG88163.gif;<STRONG>Габариты</STRONG><br>Ширина: 22,5 см<br>Высота: 29,0 см<STRONG>Дополнительные параметры</STRONG><br>Цвет арматуры: аллюминий<br>влагонепроницаемый<br>сенсорное включение (датчик движения)<br>энергосберегающая<br>светодиодные лампы<br>3 года гарантия;/UserFiles/Image/svetilniki/EG88163.jpg;1000;0;0;0;0;0;1;EG88163;;YTo0OntpOjIwO2E6MTp7aTowO3M6MjoiMzUiO31pOjg7YToxOntpOjA7czozOiIxMTAiO31pOjk7YToxOntpOjA7czoyOiIxNyI7fWk6MjE7YToxOntpOjA7czoyOiI1MyI7fX0
