Артикул;Наименование;Краткое описание;Имя картинки;Подробное описание;Кол-во картинок;Остаток;Цена1;Цена2;Цена3;Цена4;Цена5;Вес;Ед.измерения;ISO;Category ID;Parent;Характеристика;Значение;;;;;;;;;;;;;;
16;Бензокоса EPT 23XXXX;Легкая и тихая бензокоса для использования на небольших участках (дачах, садах, газонах перед домом).;Elmos/16;<P>Рабочий объем (куб.см)&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp, 22,5</P><P>Двигатель&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp, бензиновый 2-х тактный</P><P>Мощность (л.с.)&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp, 1.0</P><P>Топливный бак (л)&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp, 0,6</P><P>Режущее оборудование&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp, 2 лески</P><P>Ширина скашмвания леской (см)&nbsp,&nbsp,&nbsp,&nbsp, 42</P><P>Ширина скашивания ножом (см)&nbsp,&nbsp,&nbsp,&nbsp,&nbsp, -</P><P>Вес (кг)&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp, 5,0</P>;1;4;700.00;;;;;;шт;RUR;693;;;;;;;;;;;;;;;;;
3;Дрель BE 1020, 1020 Вт;Дрель безударная 1020-Ватт двухскоростная с электроникой BE 1020;Metabo/3;"Технические характеристики: <STRONG>Диаметр сверления в Сталь</STRONG> 16 мм Мягкое дерево 40 мм Число оборотов холостого хода 0-900/0-2.600 /мин Номинальная потребляемая мощность 1020 Ватт Отдаваемая мощность 620 Ватт Число оборотов при номинальной нагрузке 900/2.600 / мин Резьба сверлильного шпинделя 1/2"" - 20 UNF Диапазон зажима сверлильного патрона 1,5 - 13 мм Сверлильный шпиндель с внутренним шестигранником 1/4"" (6,35 мм) Вес без сетевого кабеля 2.3 кг Объем поставки cверлильный патрон с зубчатым венцом (ЗВП), ключ сверлильного патрона, дополнительная длинная рукоятка";1;3;1200.00;;;;;;шт;RUR;23;;;;;;;;;;;;;;;;;
